calibration_method,route,heldout_fold,interval_index,raw_hazard_column,calibrated_hazard_column,intercept,slope,fit_status,n_training_landmarks,n_training_events,n_training_controls,n_application_landmarks,training_folds
intercept_only,Snapshot,0,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,0.10699022782832006,1.0,offset_logistic,6700,260,6440,1776,"1,2,3,4"
intercept_only,Snapshot,0,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,1.4626738716730567,1.0,offset_logistic,5036,830,4206,1776,"1,2,3,4"
intercept_only,Snapshot,0,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.7617087349048596,1.0,offset_logistic,3311,504,2807,1776,"1,2,3,4"
intercept_only,Snapshot,0,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.37044168246041537,1.0,offset_logistic,1921,479,1442,1776,"1,2,3,4"
intercept_only,Snapshot,1,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,0.17301952373688717,1.0,offset_logistic,6709,279,6430,1766,"0,2,3,4"
intercept_only,Snapshot,1,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,1.4538122676414529,1.0,offset_logistic,5024,827,4197,1766,"0,2,3,4"
intercept_only,Snapshot,1,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.7956668624966889,1.0,offset_logistic,3268,513,2755,1766,"0,2,3,4"
intercept_only,Snapshot,1,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.342575489785923,1.0,offset_logistic,1871,454,1417,1766,"0,2,3,4"
intercept_only,Snapshot,2,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,0.09770732079302477,1.0,offset_logistic,6707,254,6453,1756,"0,1,3,4"
intercept_only,Snapshot,2,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,1.4908091125256584,1.0,offset_logistic,5063,839,4224,1756,"0,1,3,4"
intercept_only,Snapshot,2,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.7841319259345425,1.0,offset_logistic,3332,508,2824,1756,"0,1,3,4"
intercept_only,Snapshot,2,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.3477551404952234,1.0,offset_logistic,1932,465,1467,1756,"0,1,3,4"
intercept_only,Snapshot,3,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,0.14725245440495702,1.0,offset_logistic,6700,267,6433,1751,"0,1,2,4"
intercept_only,Snapshot,3,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,1.4518776568321863,1.0,offset_logistic,5048,824,4224,1751,"0,1,2,4"
intercept_only,Snapshot,3,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.8279526402599355,1.0,offset_logistic,3323,524,2799,1751,"0,1,2,4"
intercept_only,Snapshot,3,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.2919723961588791,1.0,offset_logistic,1891,449,1442,1751,"0,1,2,4"
intercept_only,Snapshot,4,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,0.18115889401052668,1.0,offset_logistic,6700,276,6424,1768,"0,1,2,3"
intercept_only,Snapshot,4,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,1.4685791371981645,1.0,offset_logistic,5033,828,4205,1768,"0,1,2,3"
intercept_only,Snapshot,4,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.7636613992613683,1.0,offset_logistic,3286,499,2787,1768,"0,1,2,3"
intercept_only,Snapshot,4,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.2903576728528314,1.0,offset_logistic,1909,441,1468,1768,"0,1,2,3"
intercept_only,LongitudinalTransformer,0,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,-0.21221686902109912,1.0,offset_logistic,12996,614,12382,3437,"1,2,3,4"
intercept_only,LongitudinalTransformer,0,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,0.5101901756041524,1.0,offset_logistic,9852,1421,8431,3437,"1,2,3,4"
intercept_only,LongitudinalTransformer,0,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.3415958313121129,1.0,offset_logistic,6706,922,5784,3437,"1,2,3,4"
intercept_only,LongitudinalTransformer,0,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.4460786516440316,1.0,offset_logistic,3824,957,2867,3437,"1,2,3,4"
intercept_only,LongitudinalTransformer,1,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,-0.22083757777674726,1.0,offset_logistic,12790,615,12175,3641,"0,2,3,4"
intercept_only,LongitudinalTransformer,1,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,0.5390709458127221,1.0,offset_logistic,9678,1439,8239,3641,"0,2,3,4"
intercept_only,LongitudinalTransformer,1,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.3429562072410022,1.0,offset_logistic,6533,903,5630,3641,"0,2,3,4"
intercept_only,LongitudinalTransformer,1,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.4178524704076139,1.0,offset_logistic,3681,930,2751,3641,"0,2,3,4"
intercept_only,LongitudinalTransformer,2,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,-0.18119824457635858,1.0,offset_logistic,12935,611,12324,3473,"0,1,3,4"
intercept_only,LongitudinalTransformer,2,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,0.5179857025802016,1.0,offset_logistic,9853,1432,8421,3473,"0,1,3,4"
intercept_only,LongitudinalTransformer,2,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.288309275196241,1.0,offset_logistic,6702,899,5803,3473,"0,1,3,4"
intercept_only,LongitudinalTransformer,2,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.4390507133011096,1.0,offset_logistic,3830,972,2858,3473,"0,1,3,4"
intercept_only,LongitudinalTransformer,3,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,-0.22843799091474343,1.0,offset_logistic,12970,607,12363,3476,"0,1,2,4"
intercept_only,LongitudinalTransformer,3,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,0.5363665618200533,1.0,offset_logistic,9843,1444,8399,3476,"0,1,2,4"
intercept_only,LongitudinalTransformer,3,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.2997549250932661,1.0,offset_logistic,6666,894,5772,3476,"0,1,2,4"
intercept_only,LongitudinalTransformer,3,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.4321430415254545,1.0,offset_logistic,3790,960,2830,3476,"0,1,2,4"
intercept_only,LongitudinalTransformer,4,0,hazard_0_1y,hazard_0_1y_cf_intercept_only,-0.17089981632257184,1.0,offset_logistic,12989,621,12368,3459,"0,1,2,3"
intercept_only,LongitudinalTransformer,4,1,hazard_1_2y,hazard_1_2y_cf_intercept_only,0.520448775048337,1.0,offset_logistic,9846,1396,8450,3459,"0,1,2,3"
intercept_only,LongitudinalTransformer,4,2,hazard_2_3y,hazard_2_3y_cf_intercept_only,0.3744787898071761,1.0,offset_logistic,6725,918,5807,3459,"0,1,2,3"
intercept_only,LongitudinalTransformer,4,3,hazard_3_5y,hazard_3_5y_cf_intercept_only,0.450450770429707,1.0,offset_logistic,3847,953,2894,3459,"0,1,2,3"
intercept_slope,Snapshot,0,0,hazard_0_1y,hazard_0_1y_cf_intercept_slope,-0.6070018670894415,0.7276162051955282,weighted_logistic,6700,260,6440,1776,"1,2,3,4"
intercept_slope,Snapshot,0,1,hazard_1_2y,hazard_1_2y_cf_intercept_slope,1.5705515348528718,1.0458014552769033,weighted_logistic_fallback,5036,830,4206,1776,"1,2,3,4"
intercept_slope,Snapshot,0,2,hazard_2_3y,hazard_2_3y_cf_intercept_slope,0.991750323456194,1.1146445629491692,weighted_logistic,3311,504,2807,1776,"1,2,3,4"
intercept_slope,Snapshot,0,3,hazard_3_5y,hazard_3_5y_cf_intercept_slope,0.5470870119120713,1.1369299698779207,weighted_logistic,1921,479,1442,1776,"1,2,3,4"
intercept_slope,Snapshot,1,0,hazard_0_1y,hazard_0_1y_cf_intercept_slope,-0.5232902267003859,0.7337725217133839,weighted_logistic_fallback,6709,279,6430,1766,"0,2,3,4"
intercept_slope,Snapshot,1,1,hazard_1_2y,hazard_1_2y_cf_intercept_slope,1.5341901512887044,1.0341483059075536,weighted_logistic,5024,827,4197,1766,"0,2,3,4"
intercept_slope,Snapshot,1,2,hazard_2_3y,hazard_2_3y_cf_intercept_slope,1.015323530502176,1.109723842472995,weighted_logistic,3268,513,2755,1766,"0,2,3,4"
intercept_slope,Snapshot,1,3,hazard_3_5y,hazard_3_5y_cf_intercept_slope,0.535985207813288,1.1505716827489871,weighted_logistic,1871,454,1417,1766,"0,2,3,4"
intercept_slope,Snapshot,2,0,hazard_0_1y,hazard_0_1y_cf_intercept_slope,-0.7118605496554533,0.694153734256306,weighted_logistic,6707,254,6453,1756,"0,1,3,4"
intercept_slope,Snapshot,2,1,hazard_1_2y,hazard_1_2y_cf_intercept_slope,1.632929655125433,1.059917226277059,weighted_logistic,5063,839,4224,1756,"0,1,3,4"
intercept_slope,Snapshot,2,2,hazard_2_3y,hazard_2_3y_cf_intercept_slope,0.9925935605109265,1.1026387180920298,weighted_logistic,3332,508,2824,1756,"0,1,3,4"
intercept_slope,Snapshot,2,3,hazard_3_5y,hazard_3_5y_cf_intercept_slope,0.6371110433129225,1.2214408940663344,weighted_logistic,1932,465,1467,1756,"0,1,3,4"
intercept_slope,Snapshot,3,0,hazard_0_1y,hazard_0_1y_cf_intercept_slope,-0.596760804356035,0.7177980146013877,weighted_logistic_fallback,6700,267,6433,1751,"0,1,2,4"
intercept_slope,Snapshot,3,1,hazard_1_2y,hazard_1_2y_cf_intercept_slope,1.6030464015332788,1.064135106215247,weighted_logistic,5048,824,4224,1751,"0,1,2,4"
intercept_slope,Snapshot,3,2,hazard_2_3y,hazard_2_3y_cf_intercept_slope,1.208872277988904,1.1885907413671317,weighted_logistic_fallback,3323,524,2799,1751,"0,1,2,4"
intercept_slope,Snapshot,3,3,hazard_3_5y,hazard_3_5y_cf_intercept_slope,0.4993646715410599,1.1633899144022848,weighted_logistic,1891,449,1442,1751,"0,1,2,4"
intercept_slope,Snapshot,4,0,hazard_0_1y,hazard_0_1y_cf_intercept_slope,-0.635632855893282,0.6915436599705272,weighted_logistic_fallback,6700,276,6424,1768,"0,1,2,3"
