history_stratum,horizon_years,prediction_type,raw_auroc,recalibrated_auroc,delta_auroc,raw_auprc,recalibrated_auprc,delta_auprc,raw_brier,recalibrated_brier,delta_brier,raw_absolute_calibration_gap,recalibrated_absolute_calibration_gap,delta_absolute_calibration_gap,raw_calibration_intercept,recalibrated_calibration_intercept,raw_calibration_slope,recalibrated_calibration_slope
all,1,cross_fitted_intercept_only,0.7192289160491008,0.715998557269946,-0.003230358779154785,0.12296687667401444,0.12340990779420548,0.0004430311201910342,0.055578540137712164,0.055100027869412226,-0.0004785122682999382,0.004573163004525205,0.002495151833005693,-0.0020780111715195115,-0.08927527033329652,-0.04895642592427597,0.629715255838288,0.6407408142839746
all,2,cross_fitted_intercept_only,0.7333881279609827,0.7384750690779692,0.0050869411169864875,0.4412926250546501,0.46024271411057505,0.018950089055924935,0.17558565806579768,0.16490359290250084,-0.010682065163296839,0.08242761229087903,0.026483727715316596,-0.05594388457556243,0.6450451254698623,-0.17165019760107567,0.703094761141489,0.7755340738072692
all,3,cross_fitted_intercept_only,0.7587577357514095,0.7606074023632519,0.0018496666118423821,0.6189260947135574,0.6349479452174834,0.016021850503926016,0.2041967480672318,0.1892987157486662,-0.014898032318565596,0.09891607138394304,0.032530459613257345,-0.06638561177068569,0.6042992520155935,-0.18362875043307728,0.8243608719348265,0.8186007477791505
all,5,cross_fitted_intercept_only,0.7782642240255369,0.7753032673013144,-0.0029609567242224744,0.761597846564883,0.7661047396844218,0.00450689311953878,0.20239123092774017,0.19573028639246406,-0.006660944535276103,0.08063799619636358,0.045790411153215194,-0.03484758504314839,0.4402911509858519,-0.25508790920590807,0.8836939696911048,0.8017244546003505
Snapshot,1,cross_fitted_intercept_only,0.7050143918414453,0.7035528838638059,-0.0014615079776394424,0.12414034944220817,0.12326913074791662,-0.0008712186942915479,0.054685333485751685,0.05494779121771608,0.00026245773196439254,0.004766956317285603,0.0022273199544064065,-0.002539636362879197,0.09797513650037619,-0.0433279028654678,0.7127698386864607,0.7081780258666805
Snapshot,2,cross_fitted_intercept_only,0.7125426569343996,0.71336354787245,0.0008208909380504892,0.48960154200879835,0.4884656558378111,-0.0011358861709872548,0.19994250817304196,0.17784941514665717,-0.02209309302638479,0.13993108568190696,0.038330893789706666,-0.10160019189220029,0.9933882313329255,-0.20892159770088914,0.9961038862433184,0.9993505842088775
Snapshot,3,cross_fitted_intercept_only,0.7565373877015652,0.7521162682525856,-0.004421119448979605,0.6798243600776881,0.6748878862093797,-0.004936473868308422,0.22626922466753452,0.19850771092079325,-0.027761513746741268,0.1600560656086152,0.05336393857912686,-0.10669212702948835,0.8660129479571488,-0.25676717832264606,1.2579685834332923,1.123615126464132
Snapshot,5,cross_fitted_intercept_only,0.7813022863065259,0.7755053549323662,-0.005796931374159708,0.8050995429578844,0.8014478760770015,-0.00365166688088292,0.20802713648793242,0.199516198697332,-0.008510937790600415,0.11270103252878377,0.07033411269022227,-0.0423669198385615,0.5375851976082922,-0.34280036119333346,1.4313315579587436,1.2164761050368589
LongitudinalTransformer,1,cross_fitted_intercept_only,0.7334679807775497,0.7332044468328889,-0.000263533944660832,0.1279222963078696,0.12795182199259392,2.95256847243075e-05,0.056442422436888066,0.055214579999150276,-0.0012278424377377903,0.013956205877223793,0.0028129320294108667,-0.011143273847812926,-0.25765794834994077,-0.055684350039527264,0.5984301856027925,0.5970908522345864
LongitudinalTransformer,2,cross_fitted_intercept_only,0.7625982394130384,0.7624315840233913,-0.0001666553896471079,0.4429572684084842,0.44165963099357664,-0.001297637414907571,0.15157112997344455,0.15292721374701804,0.001356083773573491,0.028140634260412384,0.01675977315167007,-0.011380861108742313,0.23590490867700475,-0.13169659355463373,0.6873184384110932,0.6914201128674478
LongitudinalTransformer,3,cross_fitted_intercept_only,0.7725371495084534,0.7723330448506738,-0.00020410465777964681,0.60444621444054,0.603542864197282,-0.0009033502432580498,0.18259188947790034,0.18195159193742907,-0.000640297540471263,0.04263791791128313,0.01631787209349056,-0.02632004581779257,0.29099586535891747,-0.10831413688114333,0.7345409461792614,0.7128492755621921
LongitudinalTransformer,5,cross_fitted_intercept_only,0.7860561601109212,0.7859870935757767,-6.906653514449079e-05,0.7445932075008866,0.7442334072154795,-0.0003598002854071636,0.1966543305946637,0.19308769413025478,-0.003566636464408912,0.050452237603640426,0.02635290236397253,-0.024099335239667896,0.31663749077481346,-0.16645558677486869,0.7290509342900754,0.6821007116883732
all,1,cross_fitted_intercept_slope,0.7192289160491008,0.7182405765634488,-0.0009883394856520233,0.12296687667401444,0.12314991719041993,0.00018304051640548324,0.055578540137712164,0.05374129926850219,-0.0018372408692099718,0.004573163004525205,0.0025146508639318776,-0.002058512140593327,-0.08927527033329652,-0.046407504775437806,0.629715255838288,0.9894750998865961
all,2,cross_fitted_intercept_slope,0.7333881279609827,0.7411511743500051,0.0077630463890223655,0.4412926250546501,0.467926529682516,0.026633904627865912,0.17558565806579768,0.1624092785422402,-0.013176379523557491,0.08242761229087903,0.031438192838026346,-0.05098941945285268,0.6450451254698623,-0.188506037454107,0.703094761141489,1.006732593209709
all,3,cross_fitted_intercept_slope,0.7587577357514095,0.7648354469764497,0.006077711225040194,0.6189260947135574,0.6433581627607603,0.02443206804720288,0.2041967480672318,0.18715686746614743,-0.017039880601084356,0.09891607138394304,0.04213742172732304,-0.056778649656619995,0.6042992520155935,-0.2200373491546137,0.8243608719348265,1.0259896235127646
all,5,cross_fitted_intercept_slope,0.7782642240255369,0.7809841380737002,0.0027199140481632966,0.761597846564883,0.7755238905444164,0.013926043979533342,0.20239123092774017,0.1944496102496782,-0.007941620678061978,0.08063799619636358,0.05998684047063679,-0.02065115572572679,0.4402911509858519,-0.30727292237317844,0.8836939696911048,1.0329446020661652
Snapshot,1,cross_fitted_intercept_slope,0.7050143918414453,0.7021711125960433,-0.002843279245402064,0.12414034944220817,0.12240264178489021,-0.001737707657317955,0.054685333485751685,0.05381467840766665,-0.0008706550780850364,0.004766956317285603,0.002218004392015284,-0.0025489519252703194,0.09797513650037619,-0.04111007758749462,0.7127698386864607,0.9881070744674539
Snapshot,2,cross_fitted_intercept_slope,0.7125426569343996,0.7127782145801382,0.0002355576457386821,0.48960154200879835,0.4870523253416263,-0.0025492166671720606,0.19994250817304196,0.1781964299912065,-0.021746078181835465,0.13993108568190696,0.04074682814571112,-0.09918425753619584,0.9933882313329255,-0.22035221061955496,0.9961038862433184,1.024155532431724
Snapshot,3,cross_fitted_intercept_slope,0.7565373877015652,0.7528353107362646,-0.0037020769653005603,0.6798243600776881,0.6749734484776757,-0.004850911600012386,0.22626922466753452,0.1982575753318976,-0.028011649335636907,0.1600560656086152,0.05573136626015235,-0.10432469934846286,0.8660129479571488,-0.2712809150062213,1.2579685834332923,1.071815139952039
Snapshot,5,cross_fitted_intercept_slope,0.7813022863065259,0.7765575351954582,-0.004744751111067647,0.8050995429578844,0.8019736094996628,-0.0031259334582216525,0.20802713648793242,0.1981858591321226,-0.009841277355809808,0.11270103252878377,0.07079387678597526,-0.04190715574280851,0.5375851976082922,-0.35419381711601583,1.4313315579587436,1.1033275571038357
LongitudinalTransformer,1,cross_fitted_intercept_slope,0.7334679807775497,0.7322088317617319,-0.0012591490158178065,0.1279222963078696,0.1272885545162068,-0.0006337417916628119,0.056442422436888066,0.05362603945519368,-0.0028163829816943847,0.013956205877223793,0.002864061952907823,-0.01109214392431597,-0.25765794834994077,-0.05265110259323861,0.5984301856027925,0.9907430627480096
LongitudinalTransformer,2,cross_fitted_intercept_slope,0.7625982394130384,0.7621741355926916,-0.000424103820346744,0.4429572684084842,0.44049670390029066,-0.0024605645081935412,0.15157112997344455,0.14794561794508815,-0.003625512028356398,0.028140634260412384,0.02382668044035624,-0.004313953820056143,0.23590490867700475,-0.15870604191068496,0.6873184384110932,0.9961870428704885
LongitudinalTransformer,3,cross_fitted_intercept_slope,0.7725371495084534,0.7721371240777323,-0.0004000254307211515,0.60444621444054,0.6031095451086501,-0.001336669331889917,0.18259188947790034,0.17818468759005018,-0.004407201887850154,0.04263791791128313,0.03172668066297796,-0.010911237248305172,0.29099586535891747,-0.1764503146576146,0.7345409461792614,1.000040188485562
LongitudinalTransformer,5,cross_fitted_intercept_slope,0.7860561601109212,0.785468069964367,-0.0005880901465541433,0.7445932075008866,0.7440303782981617,-0.0005628292027249904,0.1966543305946637,0.1917875446078571,-0.004866785986806593,0.050452237603640426,0.05189263810569078,0.001440400502050354,0.31663749077481346,-0.2705773289019756,0.7290509342900754,0.9978238716212915
