scenario,history_stratum,prediction_type,horizon_years,bin_index,n_landmarks,n_patients,prediction_min,prediction_max,patient_balanced_mean_prediction,weighted_km_observed_risk,calibration_difference
no_ADAS13,all,raw_zero_shot,1,0,2630,1449,0.005026298388838724,0.008726775366812989,0.006628359899596543,0.010345597931806005,-0.003717238032209462
no_ADAS13,all,raw_zero_shot,1,1,2630,1902,0.008728262735530734,0.01277036216321592,0.010885129608299966,0.01619205473221086,-0.0053069251239108925
no_ADAS13,all,raw_zero_shot,1,2,2630,2150,0.01277267197147014,0.01695586163550611,0.014879697643684056,0.015973233652341268,-0.0010935360086572112
no_ADAS13,all,raw_zero_shot,1,3,2631,2229,0.016958334296941713,0.022013841196894646,0.019425983358170487,0.030706565440604572,-0.011280582082434085
no_ADAS13,all,raw_zero_shot,1,4,2630,2236,0.0220180731266737,0.028990026190876983,0.0252597716035691,0.03328155615862216,-0.00802178455505306
no_ADAS13,all,raw_zero_shot,1,5,2630,2269,0.02899290413804445,0.04031118513693488,0.034119339783034136,0.05168138742417916,-0.017562047641145023
no_ADAS13,all,raw_zero_shot,1,6,2631,2313,0.040313699277445436,0.05832711057961715,0.048451569872141304,0.06174497979819571,-0.013293409926054406
no_ADAS13,all,raw_zero_shot,1,7,2630,2262,0.05833649825653486,0.09616951644420624,0.07423253311728359,0.08325484291460117,-0.00902230979731758
no_ADAS13,all,raw_zero_shot,1,8,2630,2089,0.09620202491680585,0.18344824612140653,0.1338078812378783,0.1311432636836416,0.0026646175542366923
no_ADAS13,all,raw_zero_shot,1,9,2631,1788,0.18347165882587435,0.8340286556798049,0.2774653416919908,0.14733097872088918,0.1301343629711016
no_ADAS13,all,raw_zero_shot,2,0,2630,1472,0.016944856100370997,0.03198967301565103,0.024003065679233843,0.04007846283248029,-0.016075397153246445
no_ADAS13,all,raw_zero_shot,2,1,2630,1938,0.031995117280393615,0.04705389424280959,0.039958411531512424,0.08821858127413995,-0.04826016974262753
no_ADAS13,all,raw_zero_shot,2,2,2630,2203,0.04705437688743941,0.060254340259411676,0.05396228848190079,0.091843492807267,-0.037881204325366215
no_ADAS13,all,raw_zero_shot,2,3,2631,2272,0.06027053592527554,0.0760594602401139,0.06792710532335397,0.1516024937214897,-0.08367538839813574
no_ADAS13,all,raw_zero_shot,2,4,2630,2242,0.07605948145263075,0.09869079693045912,0.08657497878109043,0.19430609832361667,-0.10773111954252625
no_ADAS13,all,raw_zero_shot,2,5,2630,2295,0.09869368771020803,0.1306253039158054,0.11337420064563505,0.2553748250893896,-0.14200062444375453
no_ADAS13,all,raw_zero_shot,2,6,2631,2313,0.13062899895144697,0.17633349925623454,0.15170697884785248,0.27509240037112903,-0.12338542152327656
no_ADAS13,all,raw_zero_shot,2,7,2630,2233,0.17638552742060465,0.27940556915312376,0.21814169619729312,0.39671297453179977,-0.17857127833450664
no_ADAS13,all,raw_zero_shot,2,8,2630,2017,0.2794236349427546,0.4642747288364232,0.36048712555255297,0.47608421121429223,-0.11559708566173926
no_ADAS13,all,raw_zero_shot,2,9,2631,1758,0.46429306596428876,0.9854971932692455,0.6062922563498483,0.5119472526638467,0.09434500368600163
no_ADAS13,all,raw_zero_shot,3,0,2630,1481,0.03256280536147271,0.0627553189467811,0.04751151056622802,0.0745008492156527,-0.026989338649424675
no_ADAS13,all,raw_zero_shot,3,1,2630,1932,0.06275811369218953,0.09320337781644994,0.07890184506667361,0.14189276850264565,-0.06299092343597204
no_ADAS13,all,raw_zero_shot,3,2,2630,2183,0.09322950185457157,0.12145919917405512,0.10750258185187439,0.17290786612782727,-0.06540528427595288
no_ADAS13,all,raw_zero_shot,3,3,2631,2261,0.12146273496650972,0.15140204651113298,0.1365752286637886,0.22551594317560097,-0.08894071451181237
no_ADAS13,all,raw_zero_shot,3,4,2630,2282,0.1514035536256696,0.1877257692525377,0.16859039152255345,0.27752121647665606,-0.10893082495410261
no_ADAS13,all,raw_zero_shot,3,5,2630,2284,0.18776032467244075,0.2367792460843402,0.21027016384282243,0.3462182223144512,-0.13594805847162877
no_ADAS13,all,raw_zero_shot,3,6,2631,2262,0.23679874421357638,0.3141383058672662,0.27234639780056513,0.48414585998221904,-0.2117994621816539
no_ADAS13,all,raw_zero_shot,3,7,2630,2178,0.3141722308701146,0.4568453012286301,0.3770727540486607,0.5781177672801632,-0.20104501323150248
no_ADAS13,all,raw_zero_shot,3,8,2630,2043,0.4569104906466487,0.6547484442202763,0.5500600199672985,0.6434320891943571,-0.09337206922705865
no_ADAS13,all,raw_zero_shot,3,9,2631,1778,0.6547505828794957,0.999355191055581,0.7721410677811423,0.7031286400960479,0.06901242768509441
no_ADAS13,all,raw_zero_shot,5,0,2630,1494,0.06209238391569083,0.12419763528263716,0.09403783983941283,0.13870651752729557,-0.04466867768788274
no_ADAS13,all,raw_zero_shot,5,1,2630,1916,0.12425871302571401,0.1872677636252349,0.1569509393246662,0.23806443237870722,-0.08111349305404103
no_ADAS13,all,raw_zero_shot,5,2,2630,2186,0.1872753386798116,0.24112767643811528,0.21545559569801317,0.27316981021073405,-0.05771421451272088
no_ADAS13,all,raw_zero_shot,5,3,2631,2248,0.24118933757578298,0.29330291472564385,0.2675196578940537,0.340950537554327,-0.07343087966027334
no_ADAS13,all,raw_zero_shot,5,4,2630,2307,0.29341858564294043,0.35270674974779703,0.32259356107016235,0.43731215154975644,-0.1147185904795941
no_ADAS13,all,raw_zero_shot,5,5,2630,2286,0.3527110298411008,0.43049639556391794,0.38971583173974944,0.5046460077518199,-0.11493017601207045
no_ADAS13,all,raw_zero_shot,5,6,2631,2246,0.43051832523311573,0.5385320346222182,0.4819327352069207,0.6303280306508711,-0.14839529544395036
no_ADAS13,all,raw_zero_shot,5,7,2630,2188,0.5386828895149463,0.6962840646761655,0.6118003761533217,0.7577671298007649,-0.14596675364744316
no_ADAS13,all,raw_zero_shot,5,8,2630,2035,0.6963504607308834,0.8559280009996098,0.776079893311525,0.8041739153357367,-0.02809402202421163
no_ADAS13,all,raw_zero_shot,5,9,2631,1789,0.855979042659696,0.9999941520837176,0.9200870094878634,0.8363887002979671,0.08369830918989629
no_ADAS13,all,cross_fitted_intercept_only,1,0,2630,1440,0.0040395430632345075,0.007132396175099198,0.005411107816472104,0.010381473761009508,-0.004970365944537403
no_ADAS13,all,cross_fitted_intercept_only,1,1,2630,1772,0.007132597667686147,0.011149754535983547,0.00910081896197659,0.017755021363977663,-0.008654202402001073
no_ADAS13,all,cross_fitted_intercept_only,1,2,2630,2034,0.011153752357243252,0.016124979700873787,0.013718286099705563,0.016667316907708507,-0.002949030808002944
no_ADAS13,all,cross_fitted_intercept_only,1,3,2631,2226,0.01612662912175733,0.02133407948366084,0.01867740090846524,0.0223677477212898,-0.0036903468128245583
no_ADAS13,all,cross_fitted_intercept_only,1,4,2630,2277,0.021334129882186748,0.028124492787786948,0.024471947609910834,0.04224882747646619,-0.017776879866555354
no_ADAS13,all,cross_fitted_intercept_only,1,5,2630,2284,0.02812543702124315,0.03900009012158556,0.03320662067295423,0.047464850727430896,-0.014258230054476663
no_ADAS13,all,cross_fitted_intercept_only,1,6,2631,2341,0.03900388141067268,0.057775805585934426,0.04770341890196289,0.063583373662361,-0.015879954760398107
no_ADAS13,all,cross_fitted_intercept_only,1,7,2630,2284,0.057775946916032495,0.09110416472778693,0.0721348240770265,0.06746763262062117,0.004667191456405331
no_ADAS13,all,cross_fitted_intercept_only,1,8,2630,2114,0.09111692941025518,0.16394986860007243,0.12180142033715866,0.12984850558035255,-0.008047085243193891
no_ADAS13,all,cross_fitted_intercept_only,1,9,2631,1820,0.16405421938848253,0.8471162276382996,0.25021611681341754,0.14809031569750808,0.10212580111590946
no_ADAS13,all,cross_fitted_intercept_only,2,0,2630,1481,0.02361244634732318,0.045789458804081806,0.03436777676579597,0.03867554963195308,-0.004307772866157106
no_ADAS13,all,cross_fitted_intercept_only,2,1,2630,1780,0.04581496511051242,0.07440452312754597,0.05920706243873476,0.08484060540744398,-0.02563354296870922
no_ADAS13,all,cross_fitted_intercept_only,2,2,2630,1887,0.07440623924827894,0.11541477103703113,0.09452531288737683,0.11453711753579321,-0.020011804648416384
no_ADAS13,all,cross_fitted_intercept_only,2,3,2631,2163,0.11542018974177826,0.16014680466879783,0.139564125319067,0.11490035715243141,0.024663768166635597
no_ADAS13,all,cross_fitted_intercept_only,2,4,2630,2357,0.16016878604951756,0.20095119349571322,0.1802238546241312,0.15732642645235762,0.022897428171773593
no_ADAS13,all,cross_fitted_intercept_only,2,5,2630,2360,0.20095697777603938,0.2552792132316778,0.22598410801558796,0.22960353687809143,-0.0036194288625034654
no_ADAS13,all,cross_fitted_intercept_only,2,6,2631,2382,0.25532697927830816,0.33490797250522,0.29268596001456326,0.2917339065570851,0.0009520534574781747
no_ADAS13,all,cross_fitted_intercept_only,2,7,2630,2325,0.33493346977529626,0.42989311269936226,0.3791062959809115,0.3187039924884597,0.06040230349245179
no_ADAS13,all,cross_fitted_intercept_only,2,8,2630,2134,0.4299114806687647,0.5893385039353618,0.5018570619717794,0.4606386120662145,0.04121844990556489
no_ADAS13,all,cross_fitted_intercept_only,2,9,2631,1816,0.5893630494232243,0.9967731682696297,0.7068642588734665,0.5415589504085068,0.16530530846495972
