check,expected,observed,status,detail
rows,26303,26303,PASS,
patients,12052,12052,PASS,
duplicate_patient_landmarks,0,0,PASS,
scenario,['no_ADAS13'],['no_ADAS13'],PASS,
route_counts,"{'LongitudinalTransformer': 17486, 'Snapshot': 8817}","{'LongitudinalTransformer': 17486, 'Snapshot': 8817}",PASS,
patient_fold_uniqueness,1,1,PASS,
patient_balanced_weights_sum_to_one,True,True,PASS,
calibration_coefficient_rows,80,80,PASS,
intercept_only_risks_finite,True,True,PASS,
intercept_only_risks_in_unit_interval,True,True,PASS,
intercept_only_cumulative_risks_monotonic,0,0,PASS,
intercept_slope_risks_finite,True,True,PASS,
intercept_slope_risks_in_unit_interval,True,True,PASS,
intercept_slope_cumulative_risks_monotonic,0,0,PASS,
