model,analysis,scenario,history_stratum,prediction_type,horizon_years,n_patients,n_landmarks,n_cases,n_controls,n_early_censored,n_evaluable,unweighted_evaluable_event_fraction,patient_balanced_evaluable_prevalence,ipcw_weighted_prevalence,weighted_km_observed_risk,ipcw_weighted_mean_prediction,calibration_gap_prediction_minus_ipcw_prevalence,absolute_calibration_gap,calibration_intercept,calibration_intercept_status,calibration_model_intercept,calibration_slope,calibration_slope_status,auroc,auprc,brier,censoring_survival_at_horizon,max_ipcw_factor
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,raw_zero_shot,1,12052,26303,1101,23448,1754,24549,0.044849077355493094,0.06143859516506333,0.058811244667771975,0.058802046451215784,0.06338440767229718,0.004573163004525205,0.004573163004525205,-0.08927527033329652,offset_logistic,-0.9504437265905892,0.629715255838288,weighted_logistic_fallback,0.7192289160491008,0.12296687667401444,0.055578540137712164,0.9098354277809888,1.099099869565329
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,raw_zero_shot,2,12052,26303,3921,15749,6633,19670,0.19933909506863243,0.3027005485125544,0.24794780026202984,0.24789362358264044,0.1655201879711508,-0.08242761229087903,0.08242761229087903,0.6450451254698623,offset_logistic,0.16371026148588774,0.703094761141489,weighted_logistic_fallback,0.7333881279609827,0.4412926250546501,0.17558565806579768,0.6091913197861151,1.641520434583829
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,raw_zero_shot,3,12052,26303,5692,10692,9919,16384,0.347412109375,0.48693333833509095,0.36475507018750036,0.36466386000592055,0.2658389988035573,-0.09891607138394304,0.09891607138394304,0.6042992520155935,offset_logistic,0.406413075375678,0.8243608719348265,weighted_logistic_fallback,0.7587577357514095,0.6189260947135574,0.2041967480672318,0.43017910691470584,2.324613129568554
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,raw_zero_shot,5,12052,26303,7457,5359,13487,12816,0.581850811485643,0.710685123856637,0.49715819754437524,0.49703653532766057,0.41652020134801165,-0.08063799619636358,0.08063799619636358,0.4402911509858519,offset_logistic,0.377311658189517,0.8836939696911048,weighted_logistic,0.7782642240255369,0.761597846564883,0.20239123092774017,0.24593058283102914,4.066188062047847
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_only,1,12052,26303,1101,23448,1754,24549,0.044849077355493094,0.06143859516506333,0.058811244667771975,0.058802046451215784,0.06130639650077767,0.002495151833005693,0.002495151833005693,-0.04895642592427597,offset_logistic,-0.9026703653382547,0.6407408142839746,weighted_logistic,0.715998557269946,0.12340990779420548,0.055100027869412226,0.9098354277809888,1.099099869565329
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_only,2,12052,26303,3921,15749,6633,19670,0.19933909506863243,0.3027005485125544,0.24794780026202984,0.24789362358264044,0.27443152797734643,0.026483727715316596,0.026483727715316596,-0.17165019760107567,offset_logistic,-0.3412385479065202,0.7755340738072692,weighted_logistic,0.7384750690779692,0.46024271411057505,0.16490359290250084,0.6091913197861151,1.641520434583829
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_only,3,12052,26303,5692,10692,9919,16384,0.347412109375,0.48693333833509095,0.36475507018750036,0.36466386000592055,0.3972855298007577,0.032530459613257345,0.032530459613257345,-0.18362875043307728,offset_logistic,-0.23660099029714554,0.8186007477791505,weighted_logistic,0.7606074023632519,0.6349479452174834,0.1892987157486662,0.43017910691470584,2.324613129568554
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_only,5,12052,26303,7457,5359,13487,12816,0.581850811485643,0.710685123856637,0.49715819754437524,0.49703653532766057,0.5429486086975904,0.045790411153215194,0.045790411153215194,-0.25508790920590807,offset_logistic,-0.2221577407767812,0.8017244546003505,weighted_logistic_fallback,0.7753032673013144,0.7661047396844218,0.19573028639246406,0.24593058283102914,4.066188062047847
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_slope,1,12052,26303,1101,23448,1754,24549,0.044849077355493094,0.06143859516506333,0.058811244667771975,0.058802046451215784,0.06132589553170385,0.0025146508639318776,0.0025146508639318776,-0.046407504775437806,offset_logistic,-0.07263435824931555,0.9894750998865961,weighted_logistic,0.7182405765634488,0.12314991719041993,0.05374129926850219,0.9098354277809888,1.099099869565329
V6.1-Hybrid-QC,NACC_secondary_local_recalibration,no_ADAS13,all,cross_fitted_intercept_slope,2,12052,26303,3921,15749,6633,19670,0.19933909506863243,0.3027005485125544,0.24794780026202984,0.24789362358264044,0.2793859931000562,0.031438192838026346,0.031438192838026346,-0.188506037454107,offset_logistic,-0.18327375366947607,1.006732593209709,weighted_logistic_fallback,0.7411511743500051,0.467926529682516,0.1624092785422402,0.6091913197861151,1.641520434583829
