model,scenario,history_stratum,prediction_type,horizon_years,n_landmarks,n_patients,n_cases,n_controls,auroc,auprc,brier,weighted_prevalence,weighted_mean_prediction,absolute_calibration_gap,max_ipcw_factor,metric_status
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,raw,1,4223,1425,245,3489,0.8148352268163028,0.3315992221523963,0.08685799004192053,0.11400855158238073,0.10738929799446154,0.006619253587919191,1.311983287053817,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,raw,2,4223,1425,581,2600,0.8438316941918322,0.6410979810495351,0.13658550734632113,0.26030311151503593,0.2545015404652194,0.005801571049816545,1.7773003519069435,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,raw,3,4223,1425,805,1965,0.8613565091394046,0.7608960897920147,0.14626386005600436,0.36107787000261604,0.35584613804791854,0.005231731954697505,2.2949911287795692,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,raw,5,4223,1425,1045,1113,0.8868674526884734,0.8765353076212367,0.13775375647415236,0.4779552589286564,0.4833323201375369,0.005377061208880485,3.9032384256437678,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,cross_fitted_calibrated,1,4223,1425,245,3489,0.806313355316698,0.30666834748864286,0.0879338707361882,0.11400855158238073,0.12091547432879708,0.006906922746416355,1.311983287053817,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,cross_fitted_calibrated,2,4223,1425,581,2600,0.8389485899329614,0.6323210680070881,0.13771295927446672,0.26030311151503593,0.28033106450883744,0.0200279529938015,1.7773003519069435,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,cross_fitted_calibrated,3,4223,1425,805,1965,0.8570256383432844,0.7488977636881945,0.1476105223130018,0.36107787000261604,0.38592681070927304,0.024848940706656997,2.2949911287795692,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,all,cross_fitted_calibrated,5,4223,1425,1045,1113,0.8833067408281954,0.8695381162687826,0.1394630921279238,0.4779552589286564,0.5160730112507198,0.03811775232206338,3.9032384256437678,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,raw,1,759,759,27,534,0.7955425640105485,0.2674090128837247,0.0795300755892782,0.09343145660732098,0.05646672315398856,0.03696473345333242,1.7245071311487796,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,raw,2,759,759,60,406,0.759427485319854,0.41863148986419096,0.1406000824586959,0.1936155497800814,0.1385274347916441,0.0550881149884373,2.558193274225398,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,raw,3,759,759,99,309,0.7771292290156488,0.5870596256241597,0.1832666991566173,0.3172113902941248,0.2498942257828207,0.06731716451130412,3.27154817484659,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,raw,5,759,759,140,159,0.8081814871737223,0.739426140477466,0.187799060261353,0.45063038457931043,0.41514836859639714,0.035482015982913284,6.053432659782716,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,cross_fitted_calibrated,1,759,759,27,534,0.7572608892460003,0.21152751266123332,0.08237312406878772,0.09343145660732098,0.09853918388795693,0.005107727280635951,1.7245071311487796,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,cross_fitted_calibrated,2,759,759,60,406,0.7226231202503105,0.3601218666429581,0.14568864642886212,0.1936155497800814,0.22025477437714044,0.026639224597059058,2.558193274225398,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,cross_fitted_calibrated,3,759,759,99,309,0.7510360478424292,0.5516325141574971,0.1856743357736639,0.3172113902941248,0.3514896396808653,0.034278249386740456,3.27154817484659,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history1_logistic,cross_fitted_calibrated,5,759,759,140,159,0.7955731734620054,0.729650061399872,0.19214690618489003,0.45063038457931043,0.5223399948403054,0.07170961026099493,6.053432659782716,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,raw,1,3464,1098,218,2955,0.8231817485751538,0.35110150116417715,0.08965534706772575,0.12112357116396451,0.12448062585233084,0.0033570546883663344,1.1722614290002968,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,raw,2,3464,1098,521,2194,0.8599687160035993,0.677539800626843,0.13446594714043114,0.28016155680433585,0.2900403725089263,0.009878815704590427,1.5432763047370626,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,raw,3,3464,1098,706,1656,0.8815852884217668,0.7926474141497071,0.13484892620662325,0.37451819071602105,0.3882910382796971,0.013772847563676027,1.9977830618097057,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,raw,5,3464,1098,905,954,0.9088302314077638,0.9034743448296498,0.12244491012153762,0.4861546009174126,0.5050758045932829,0.018921203675870357,3.312024071416148,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,cross_fitted_calibrated,1,3464,1098,218,2955,0.8178469941500208,0.34651087071969516,0.09003273761868007,0.12112357116396451,0.12841827036677464,0.0072946992028101315,1.1722614290002968,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,cross_fitted_calibrated,2,3464,1098,521,2194,0.8585263231075838,0.6770492032909794,0.1346812379713009,0.28016155680433585,0.29887944739589684,0.01871789059156098,1.5432763047370626,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,cross_fitted_calibrated,3,3464,1098,706,1656,0.8793855678210734,0.7869595648466803,0.13586541129093746,0.37451819071602105,0.3966446434437946,0.022126452727773527,1.9977830618097057,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_2_v61,cross_fitted_calibrated,5,3464,1098,905,954,0.9055354174982421,0.8981128967672526,0.12430305255159696,0.4861546009174126,0.5164677629371018,0.030313162019689255,3.312024071416148,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,raw,1,2964,996,185,2536,0.8504603308506419,0.3877881424490496,0.08033990009528887,0.11175611465764039,0.11113096375460099,0.0006251509030393981,1.1443906105647919,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,raw,2,2964,996,414,1889,0.8676372213651803,0.6603643947955837,0.12370519225747793,0.24591089734818103,0.2593561430501342,0.013445245701953185,1.5313181032370853,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,raw,3,2964,996,567,1420,0.8896844678784351,0.7884296365431959,0.12615874761175364,0.3406579259073935,0.35083749509385026,0.010179569186456738,1.988024399589658,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,raw,5,2964,996,719,823,0.9034743407633535,0.8830888169410859,0.12455925303866182,0.44378501359857636,0.46475095533255445,0.02096594173397809,3.329269144317612,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,cross_fitted_calibrated,1,2964,996,185,2536,0.8470546047697198,0.3787314175857372,0.08082513134253795,0.11175611465764039,0.11562122946905831,0.003865114811417922,1.1443906105647919,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,cross_fitted_calibrated,2,2964,996,414,1889,0.8668076339867931,0.6595830403163894,0.12381661887659579,0.24591089734818103,0.26921106897338354,0.02330017162520251,1.5313181032370853,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,cross_fitted_calibrated,3,2964,996,567,1420,0.8880258647782384,0.7826837811802276,0.12693686234075197,0.3406579259073935,0.35973654550253004,0.019078619595136515,1.988024399589658,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_ge_3_v61,cross_fitted_calibrated,5,2964,996,719,823,0.9005129710632049,0.8772421076673657,0.12603570587406618,0.44378501359857636,0.4766536357426532,0.03286862214407682,3.329269144317612,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,raw,1,500,498,33,419,0.7103793171239072,0.2881959655645065,0.12531599596670762,0.15714639702786962,0.175370371069416,0.01822397404154638,1.2780020413230813,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,raw,2,500,498,107,305,0.8133383831647812,0.7227543316429276,0.17216936114968334,0.40691842866610634,0.4008313323229913,0.0060870963431150504,1.570206116542385,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,raw,3,500,498,139,236,0.8351538575208945,0.8077362788054989,0.16385381096178192,0.4992855623420007,0.5224355148522204,0.023149952510219673,2.004913259450856,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,raw,5,500,498,186,131,0.9129591223314382,0.947283415604284,0.11289617181295696,0.6390908301952608,0.647497180004144,0.008406349808883218,3.1523548046714005,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,cross_fitted_calibrated,1,500,498,33,419,0.7041233541821097,0.2927318946390672,0.12528594048597894,0.15714639702786962,0.1771998100225501,0.020053412994680497,1.2780020413230813,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,cross_fitted_calibrated,2,500,498,107,305,0.8100659186641432,0.7215973537759685,0.17281969836737862,0.40691842866610634,0.40593606462455994,0.0009823640415463908,1.570206116542385,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,cross_fitted_calibrated,3,500,498,139,236,0.8307481031967561,0.8019442415404763,0.1657062093364066,0.4992855623420007,0.5287422493301259,0.029456686988125202,2.004913259450856,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_2,cross_fitted_calibrated,5,500,498,186,131,0.9082138593323894,0.9439283798965811,0.11588331732539993,0.6390908301952608,0.6568882906854041,0.017797460490143302,3.1523548046714005,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,raw,1,725,723,61,613,0.8547770755319006,0.4384410873623461,0.09482883602910844,0.14064540279411852,0.1495657447771376,0.008920341983019081,1.1352790363101217,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,raw,2,725,723,137,458,0.8847293048466088,0.762229088101529,0.13022615913008947,0.31315185890160574,0.3333040596662794,0.020152200764673667,1.4779315781375497,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,raw,3,725,723,184,338,0.9047295920227769,0.8797428549386648,0.12725416767618486,0.41697181239069203,0.42851189850625787,0.01154008611556584,1.9017028340129498,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,raw,5,725,723,215,196,0.9187976049563769,0.9077597217854154,0.1212027944283489,0.4851695432623897,0.5460076053873932,0.060838062125003534,3.275298398295906,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,cross_fitted_calibrated,1,725,723,61,613,0.8494409565384365,0.4208908244251565,0.09591477076616667,0.14064540279411852,0.15214587885291703,0.011500476058798503,1.1352790363101217,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,cross_fitted_calibrated,2,725,723,137,458,0.8835230166063917,0.7588733446022758,0.13154532341248742,0.31315185890160574,0.3401839332172471,0.027032074315641363,1.4779315781375497,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,cross_fitted_calibrated,3,725,723,184,338,0.9029909892704704,0.8770663018136768,0.12834280511982427,0.41697181239069203,0.43556665390059185,0.018594841509899818,1.9017028340129498,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_3,cross_fitted_calibrated,5,725,723,215,196,0.9157985138559477,0.9026435606311622,0.12360458599713131,0.4851695432623897,0.5558112875322317,0.07064174426984204,3.275298398295906,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,raw,1,2239,769,124,1923,0.8467248009456494,0.36321949859491254,0.0730918073693056,0.09770012277400501,0.09185987739429151,0.0058402453797135045,1.1482079163853987,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,raw,2,2239,769,277,1431,0.8544290954900511,0.5811977839630303,0.11989049649016592,0.2120555553570918,0.22154882276544563,0.009493267408353823,1.5559841019425693,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,raw,3,2239,769,383,1082,0.8808490774435674,0.7204144333188651,0.12483982722501162,0.3010844107494685,0.31080267103526665,0.009718260285798141,2.030080971104797,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,raw,5,2239,769,504,627,0.8957953790191153,0.868256488680037,0.12616216356096802,0.42251109142325494,0.4231477735699377,0.0006366821466827766,3.356461942569408,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,cross_fitted_calibrated,1,2239,769,124,1923,0.8443355083839241,0.3576648295964349,0.07329203721027498,0.09770012277400501,0.09730147764423075,0.0003986451297742638,1.1482079163853987,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,cross_fitted_calibrated,2,2239,769,277,1431,0.8539332114124951,0.5823369599086045,0.11939808909628592,0.2120555553570918,0.23290507301609747,0.020849517659005667,1.5559841019425693,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,cross_fitted_calibrated,3,2239,769,383,1082,0.8793635492477818,0.71416842011474,0.12547603852587777,0.3010844107494685,0.32063859190048055,0.01955418115101204,2.030080971104797,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,natural,history_depth_ge_4,cross_fitted_calibrated,5,2239,769,504,627,0.8928997009928404,0.862190670560329,0.1271677276733976,0.42251109142325494,0.43612303023281007,0.013611938809555135,3.356461942569408,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,raw,1,4222,1425,245,3488,0.7956860406719981,0.3135631755708408,0.08917246064328738,0.11405783044938227,0.09941172655774069,0.014646103891641574,1.3121316921682014,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,raw,2,4222,1425,581,2599,0.8109368685866991,0.6022501061570368,0.14856784251763008,0.2604347324135998,0.24298165166970173,0.01745308074389809,1.7778593125615876,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,raw,3,4222,1425,805,1965,0.8221845439365576,0.7129645112068275,0.16604728757360274,0.36128099944649456,0.34481573579294,0.01646526365355455,2.2934552786825306,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,raw,5,4222,1425,1045,1113,0.8521341999409652,0.8374389025246991,0.15859234280407153,0.47812125213474754,0.4793466703551547,0.0012254182204071706,3.9006263069999862,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,cross_fitted_calibrated,1,4222,1425,245,3488,0.7861013711291864,0.288041063580757,0.09018611779256669,0.11405783044938227,0.12109260915534097,0.0070347787059587,1.3121316921682014,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,cross_fitted_calibrated,2,4222,1425,581,2599,0.8042512797213035,0.5850258863713672,0.14916694851582957,0.2604347324135998,0.2818428253903251,0.0214080929767253,1.7778593125615876,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,cross_fitted_calibrated,3,4222,1425,805,1965,0.8156474923574967,0.6851446882431825,0.1666320299883398,0.36128099944649456,0.3890362038882836,0.027755204441789028,2.2934552786825306,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,all,cross_fitted_calibrated,5,4222,1425,1045,1113,0.8462621654129946,0.8225373443704114,0.16068201383170935,0.47812125213474754,0.522120663362465,0.043999411227717444,3.9006263069999862,cumulative_dynamic_ipcw_patient_balanced_evaluation
