model,scenario,history_stratum,horizon_years,n_patients,n_landmarks,n_cases,n_controls,n_early_censored,auroc,auroc_ci_lower_2_5,auroc_ci_upper_97_5,auprc,auprc_ci_lower_2_5,auprc_ci_upper_97_5,brier,brier_ci_lower_2_5,brier_ci_upper_97_5,calibration_intercept,calibration_slope,ipcw_weighted_prevalence,ipcw_weighted_mean_prediction,absolute_calibration_gap
V6.1-Hybrid-QC,no_ADAS13,all,1,12052,26303,1101,23448,1754,0.7192289160491008,0.7025155872193792,0.7345115547045052,0.1229668766740144,0.1127321304460024,0.1351466608898562,0.0555785401377121,0.0522494724245928,0.0587590226271109,-0.0892752703332965,0.629715255838288,0.0588112446677719,0.0633844076722971,0.0045731630045252
V6.1-Hybrid-QC,no_ADAS13,all,2,12052,26303,3921,15749,6633,0.7333881279609827,0.7239703769549936,0.7429579449397892,0.4412926250546501,0.4272813429026921,0.4566582648079916,0.1755856580657976,0.1698223387054211,0.1809288113448041,0.6450451254698623,0.703094761141489,0.2479478002620298,0.1655201879711508,0.082427612290879
V6.1-Hybrid-QC,no_ADAS13,all,3,12052,26303,5692,10692,9919,0.7587577357514095,0.7503278487992516,0.7679967464032464,0.6189260947135574,0.6047039121234434,0.6347333718644143,0.2041967480672318,0.1988317224528756,0.2089387861725969,0.6042992520155935,0.8243608719348265,0.3647550701875003,0.2658389988035573,0.098916071383943
V6.1-Hybrid-QC,no_ADAS13,all,5,12052,26303,7457,5359,13487,0.7782642240255369,0.7681597405405243,0.7894861916107468,0.761597846564883,0.7463738718209777,0.7771373776802732,0.2023912309277401,0.1970072675858785,0.2070976442510859,0.4402911509858519,0.8836939696911048,0.4971581975443752,0.4165202013480116,0.0806379961963635
V6.1-Hybrid-QC,no_ADAS13,Snapshot,1,8817,8817,334,8045,438,0.7050143918414453,0.6752519321090436,0.7338185849387813,0.1241403494422081,0.1060347127504265,0.1497601706632656,0.0546853334857516,0.0494689726857064,0.0598941489873837,0.0979751365003761,0.7127698386864607,0.0584412817238193,0.0536743254065337,0.0047669563172856
V6.1-Hybrid-QC,no_ADAS13,Snapshot,2,8817,8817,1371,5264,2182,0.7125426569343996,0.6965450900644421,0.7287811460724827,0.4896015420087983,0.4614485038959104,0.5169376647378588,0.1999425081730419,0.1907759611807725,0.2087526859145246,0.9933882313329256,0.9961038862433184,0.2763535367479168,0.1364224510660099,0.1399310856819069
V6.1-Hybrid-QC,no_ADAS13,Snapshot,3,8817,8817,2008,3493,3316,0.7565373877015652,0.743051718526318,0.7707922889575259,0.6798243600776881,0.6581493330071954,0.7013617099634978,0.2262692246675345,0.2185094949965042,0.2336358647130593,0.8660129479571488,1.2579685834332923,0.4026294737276684,0.2425734081190531,0.1600560656086152
V6.1-Hybrid-QC,no_ADAS13,Snapshot,5,8817,8817,2580,1809,4428,0.7813022863065259,0.7661490035120975,0.7957123326414224,0.8050995429578844,0.7873386301381173,0.8219439029448845,0.2080271364879324,0.2022429269603572,0.2133961422328071,0.5375851976082922,1.4313315579587436,0.5288130836261417,0.4161120510973579,0.1127010325287837
V6.1-Hybrid-QC,no_ADAS13,LongitudinalTransformer,1,7791,17486,767,15403,1316,0.7334679807775497,0.7136601349687328,0.752704871997197,0.1279222963078696,0.1156375863962484,0.1441509571628585,0.056442422436888,0.0525718168574112,0.0599914828180976,-0.2576579483499407,0.5984301856027925,0.0591231313948078,0.0730793372720316,0.0139562058772237
V6.1-Hybrid-QC,no_ADAS13,LongitudinalTransformer,2,7791,17486,2550,10485,4451,0.7625982394130384,0.7512091634500635,0.7742953659953402,0.4429572684084842,0.4241168612636166,0.465871117428066,0.1515711299734445,0.145607877842439,0.1573394005340332,0.2359049086770047,0.6873184384110932,0.2208909863305232,0.1927503520701108,0.0281406342604123
V6.1-Hybrid-QC,no_ADAS13,LongitudinalTransformer,3,7791,17486,3684,7199,6603,0.7725371495084534,0.7611483073568718,0.784746400589652,0.60444621444054,0.5843304317694605,0.6259953666896052,0.1825918894779003,0.1757148091685912,0.1888372100859044,0.2909958653589174,0.7345409461792614,0.3297251982822425,0.2870872803709594,0.0426379179112831
V6.1-Hybrid-QC,no_ADAS13,LongitudinalTransformer,5,7791,17486,4877,3550,9059,0.7860561601109212,0.7734898450779922,0.7997918412898065,0.7445932075008866,0.7253942205654504,0.7641434198269207,0.1966543305946637,0.1887421907494692,0.2040077883183154,0.3166374907748134,0.7290509342900754,0.4680595025676202,0.4176072649639797,0.0504522376036404
